Order_ID,Customer_ID,Product_ID,Store_ID,Order_Date,Ship_Date,Month,Quarter,Year,Country,Nation,Region,City,Product_Category,Product_Subcategory,Product_Name,Sales_Channel,Customer_Segment,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin,Payment_Method,Delivery_Type,Satisfaction_Score,Returned_Units,Delivery_Days,Order_Status
ORD2024-00001,CUST01310,CAT007,ECH002,2024-08-16,2024-08-20,Aug,Q3,2024,United Kingdom,England,East Midlands,Leicester,Furniture,Living Room,Riverside Coffee Table,Online,Consumer,1,147.79,0.07,137.44,100.1,37.34,0.2717,Card,Standard,4.1,0,4,Completed
ORD2024-00002,CUST00920,CAT002,ECH001,2025-12-15,2025-12-18,Dec,Q4,2025,United Kingdom,England,Yorkshire and The Humber,Sheffield,Home Accessories,Lighting,Harbour Floor Lamp,Online,Consumer,1,80.29,0.13,69.85,53.25,16.6,0.2377,Bank Transfer,Standard,2.5,1,3,Returned
ORD2024-00003,CUST00776,CAT002,STR010,2025-01-05,2025-01-05,Jan,Q1,2025,United Kingdom,England,North East,Newcastle upon Tyne,Home Accessories,Lighting,Harbour Floor Lamp,In-Store,Consumer,3,74.61,0.0,223.83,142.25,81.58,0.3645,Card,Store Pickup,3.9,0,0,Completed
ORD2024-00004,CUST00430,CAT036,STR002,2024-06-24,2024-06-24,Jun,Q2,2024,United Kingdom,England,West Midlands,Birmingham,Furniture,Workspace,Apex Standing Desk,In-Store,Small Business,1,288.13,0.0,288.13,207.42,80.71,0.2801,Card,Store Pickup,3.9,0,0,Completed
ORD2024-00005,CUST00066,CAT040,ECH001,2025-08-03,2025-08-07,Aug,Q3,2025,United Kingdom,England,East Midlands,Nottingham,Storage,Organisation,Loft Label Maker,Online,Consumer,2,31.39,0.0,62.78,39.14,23.64,0.3766,Card,Standard,3.4,0,4,Completed
ORD2024-00006,CUST00450,CAT007,STR002,2024-04-22,2024-04-22,Apr,Q2,2024,United Kingdom,England,West Midlands,Birmingham,Furniture,Living Room,Riverside Coffee Table,In-Store,Home Office,1,147.09,0.06,138.26,95.52,42.74,0.3091,Bank Transfer,Store Pickup,3.8,0,0,Completed
ORD2024-00007,CUST01394,CAT026,STR009,2025-10-18,2025-10-20,Oct,Q4,2025,United Kingdom,England,South East,Reading,Personal Care,Wellbeing,CalmAir Diffuser,In-Store,Small Business,1,39.61,0.0,39.61,22.51,17.1,0.4317,PayPal,Click & Collect,4.7,0,2,Completed
ORD2024-00008,CUST01040,CAT031,ECH001,2025-06-27,2025-06-30,Jun,Q2,2025,United Kingdom,Scotland,Scotland,Glasgow,Cleaning,Home Care,PureClean Vacuum,Online,Premium,2,133.74,0.0,267.48,206.68,60.8,0.2273,Card,Standard,4.8,0,3,Completed
ORD2024-00009,CUST01499,CAT003,STR009,2024-05-11,2024-05-11,May,Q2,2024,United Kingdom,England,South East,Reading,Home Accessories,Decor,Willow Ceramic Vase,In-Store,Premium,5,23.36,0.05,110.96,57.85,53.11,0.4786,Digital Wallet,Store Pickup,4.3,0,0,Completed
ORD2024-00010,CUST00765,CAT040,STR008,2024-08-18,2024-08-18,Aug,Q3,2024,United Kingdom,Northern Ireland,Northern Ireland,Belfast,Storage,Organisation,Loft Label Maker,In-Store,Small Business,1,30.2,0.06,28.39,16.6,11.79,0.4153,Card,Store Pickup,3.8,0,0,Completed
